시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a51100003,감천2동시장,전통시장,부산광역시 사하구 감천 2동 13-13,부산광역시 사하구 옥천로75번길 17,부산,사하구,Y,,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y
a51100006,괴정골목시장,전통시장,부산광역시 사하구 사하로 198,부산광역시 사하구 사하로 198,부산,사하구,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a51100011,사하시장,전통시장,부산광역시 사하구 괴정동 550-38,부산광역시 사하구 장평로 451,부산,사하구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y
a51100007,다대씨-파크,전통시장,부산광역시 사하구 다대동 680-2,부산광역시 사하구 다대동로 20,부산,사하구,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,N
a51100009,당리시장,전통시장,부산광역시 사하구 당리동 143-1,부산광역시 사하구 제석로62번길 16,부산,사하구,Y,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
a51100015,하단시장,전통시장,부산광역시 사하구 당리동 302-7,부산광역시 사하구 승학로2번길 1,부산,사하구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
a51100012,신평종합시장,전통시장,부산광역시 사하구 신평1동 111-213,부산광역시 사하구 다대로134번길 44 신평시장상가아파트,부산,사하구,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
a51100001,장림시장,전통시장,부산광역시 사하구 장림동 792-7,부산광역시 사하구 장림번영로 22,부산,사하구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N
a52100001,장림골목시장,전통시장,부산광역시 사하구 장림동 641-268,부산광역시 사하구 장림시장 5길 95,부산,사하구,Y,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y
a51100017,하단오일상설시장,전통시장,부산광역시 사하구 하단 1동 620-8,부산광역시 사하구 제석로17번길 1,부산,사하구,Y,,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51100018,에덴골목시장,전통시장,부산광역시 사하구 하단2동 500-29,부산광역시 사하구 낙동대로535번길 33,부산,사하구,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51100016,신평골목시장,전통시장,부산광역시 사하구 신평1동 111-282,부산광역시 사하구 다대로134번길 27,부산,사하구,Y,,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N
a51110001,구서오시게시장,전통시장,부산광역시 금정구 구서동 87-9,부산광역시 금정구 구서로12,부산,금정구,Y,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N
a51110002,금사제일상가시장,전통시장,부산광역시 금정구 금사동 68-14,부산광역시 금정구 개좌로81,부산,금정구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51110004,부곡상가시장,전통시장,부산광역시 금정구 부곡동 304-1,부산광역시 금정구 부곡로107,부산,금정구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
a51110006,서동시장,전통시장,부산광역시 금정구서3동 302,부산광역시 금정구 서동로141번길 21,부산,금정구,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N
a51110010,서동전통골목시장,전통시장,부산광역시 금정구 서3동 338-7,부산광역시 금정구 서동로 143,부산,금정구,Y,,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N
